"unitid","lon","lat"
164465,-72.518493,42.372459
166018,-72.532401,42.324772
166629,-72.52613,42.386105
167394,-72.601541,42.14179
166133,-72.650683,42.195503
431099,-72.481367,42.170121
167835,-72.638094,42.317933
166939,-72.573625,42.257588
168263,-72.795673,42.131589
166294,-72.622508,42.105842
166586,-72.59147,42.10372
438805,-72.543347,42.140969
364308,-72.57338,42.130343
167905,-72.581598,42.108393
164632,-72.583974,42.055364
164447,-72.558507,42.112708
167899,-72.555688,42.105033
168254,-72.518789,42.115837
425986,-73.244073,42.447883
164775,-73.318843,42.460877
167792,-73.380008,42.209241
419095,-73.102434,42.66516
167288,-73.1035,42.692427
168342,-73.205888,42.711669
165981,-72.630978,42.599521
165495,-72.686919,42.506313
166009,-72.529819,42.589389
165820,-71.789354,42.589345
433040,-71.860828,42.560657
166063,-71.792335,42.57754
166957,-71.984149,42.593151
164571,-71.68394,42.445255
167260,-71.929644,42.042462
443915,-71.58221,42.28628
445647,-71.635686,42.285984
168430,-71.844019,42.267534
164599,-71.778773,42.26931
434344,-71.77459,42.255393
167534,-71.793568,42.314675
167738,-71.79531,42.311342
164562,-71.828387,42.295435
168421,-71.808792,42.275067
373696,-71.807605,42.263846
165334,-71.823537,42.251064
166124,-71.808627,42.238942
164492,-71.918961,42.33055
164720,-71.896868,42.364807
166708,-71.760689,42.277589
443678,-71.423185,42.297796
165866,-71.437175,42.297289
166887,-71.273966,42.525056
165635,-71.290245,42.461992
439136,-71.15206,42.484545
165255,-71.1371,42.492682
369002,-71.20203,42.688042
412535,-71.217926,42.546696
167376,-71.047475,42.796148
166850,-71.124216,42.668352
166498,-71.308097,42.64368
367130,-71.308847,42.642426
440952,-71.318316,42.620987
166513,-71.325081,42.65372
391564,-71.286844,42.611476
382416,-71.38618,42.653917
166601,-70.8919,42.469685
165699,-70.840729,42.554177
166911,-70.876419,42.550416
167312,-70.968337,42.597283
445638,-70.849391,42.688622
167729,-70.889321,42.502879
165945,-70.846387,42.613475
165936,-70.819133,42.588173
243799,-71.103893,42.181648
164678,-71.113455,42.179506
165574,-71.399003,42.08497
366580,-71.188334,42.200054
436599,-71.19308,42.180896
168005,-71.061969,42.359088
429128,-71.064378,42.352944
164845,-71.062529,42.354744
167297,-71.054868,42.365794
431594,-71.068939,42.362612
167358,-71.088782,42.339992
166656,-71.100964,42.337036
165671,-71.103038,42.341191
167057,-71.086321,42.340998
166674,-71.099537,42.33693
168227,-71.094983,42.336632
164872,-71.085851,42.34867
166984,-71.096941,42.338958
167783,-71.099967,42.3393
167093,-71.086521,42.351656
164641,-71.076956,42.351965
166276,-71.076319,42.351059
167215,-71.0665,42.350833
165149,-71.073286,42.355213
165884,-71.070231,42.346023
165802,-71.074125,42.355253
165662,-71.074037,42.35532
419101,-71.07372,42.349622
167631,-71.095428,42.329723
165264,-71.066598,42.277445
166638,-71.038653,42.314541
167543,-71.073063,42.381758
166869,-71.056518,42.373635
165112,-71.069263,42.374806
166717,-71.179574,42.278027
167020,-71.141433,42.347083
167677,-71.161998,42.344146
164614,-71.1103,42.254037
166452,-71.115601,42.378429
168272,-71.12803,42.379146
165167,-71.11084,42.369193
166027,-71.118177,42.374429
165705,-71.125518,42.376558
166489,-71.123785,42.378469
166683,-71.092115,42.360095
166975,-71.12837,42.393327
165556,-71.082106,42.391693
442815,-71.073631,42.427603
373678,-71.066818,42.427591
444769,-71.078341,42.426704
368993,-71.06059,42.428549
407179,-71.076619,42.427368
445373,-71.039657,42.39344
362782,-71.126566,42.415599
168148,-71.120641,42.406004
166407,-71.110848,42.42559
167525,-71.003261,42.25223
166595,-71.003196,42.245188
166805,-71.000967,42.247023
165644,-71.011238,42.271214
440420,-71.032601,42.22734
165529,-71.114007,42.240616
168290,-71.10582,42.342503
164933,-71.090502,42.346933
167224,-71.097005,42.349179
164748,-71.08703,42.346895
164988,-71.09984,42.349581
164526,-71.10215,42.346997
419147,-71.043484,42.071117
425889,-71.054643,42.097151
165060,-70.991415,42.08736
166823,-70.988944,42.076048
165024,-70.966058,41.987785
167996,-71.078123,42.061448
445656,-70.701357,41.970474
167871,-71.081263,42.011288
166319,-71.03459,42.079399
166054,-71.129418,42.317018
167321,-71.115654,42.332079
167251,-71.142082,42.331032
164915,-71.133025,42.339481
164739,-71.220148,42.388798
165680,-71.236889,42.370845
165015,-71.254716,42.364947
164580,-71.269479,42.296529
166948,-71.194658,42.293205
164474,-71.189586,42.324729
166045,-71.190525,42.3264
166391,-71.243738,42.342712
167455,-71.156973,42.319568
164924,-71.171488,42.337688
167181,-71.18196,42.371296
166647,-71.264004,42.312697
168218,-71.307966,42.293765
167464,-71.2717,42.3455
167598,-71.309126,42.351105
373711,-70.5953,41.680209
166692,-70.623953,41.740538
441478,-70.613737,41.561834
381635,-70.291171,41.65069
165194,-70.337334,41.69192
165033,-71.120263,41.721337
165750,-71.157929,41.698797
167039,-70.925187,41.671921
165608,-71.1315,41.6918
166328,-70.929296,41.633881
167987,-71.005528,41.628861
262138,-70.990493,41.660437
168281,-71.184167,41.966813
168032,-71.091871,41.901917
217606,-71.32031,41.746834
409616,-71.261978,41.650974
217518,-71.261836,41.647314
217536,-71.301125,41.471445
437237,-71.314724,41.480948
217350,-71.384833,41.877306
217323,-71.405906,41.880296
217545,-71.381846,41.875744
433101,-71.48077,41.936234
217484,-71.527356,41.484691
217475,-71.481509,41.712817
217305,-71.445196,41.715096
217581,-71.493264,41.703675
217095,-71.422327,41.821663
217493,-71.407692,41.825935
217235,-71.413322,41.820558
217572,-71.459428,41.856096
217420,-71.466915,41.84266
217156,-71.404467,41.827605
414124,-71.36834,41.8124
217165,-71.539147,41.920149
217402,-71.43792,41.844064
443641,-71.459361,41.7553
217244,-71.443212,41.800128
183345,-71.255345,42.956345
182652,-71.444744,42.776588
183035,-71.426739,42.745607
183275,-71.48364,42.807701
183248,-71.478977,42.74999
183211,-71.455466,42.738343
183141,-71.523462,42.794576
182661,-71.514293,42.776362
183071,-71.468764,42.990331
183239,-71.508177,42.985066
182883,-71.453816,42.980869
182865,-71.470688,42.971648
430810,-71.458838,42.992752
183026,-71.453938,43.039892
182953,-71.462238,42.985355
182980,-71.822928,43.177005
182704,-71.468942,43.526083
183105,-71.43842,43.557153
182634,-71.975805,43.411663
183080,-71.691164,43.757386
183257,-71.527241,43.1929
407382,-71.53774,43.213705
182829,-71.545152,43.207371
436748,-71.53774,43.213705
183099,-71.531979,43.223621
